160	232	167	115
155	231	175	111
155	232	173	114
156	237	171	113
160	243	162	111
163	246	154	108
164	252	136	104
163	250	137	108
157	243	139	113
155	234	145	120
158	220	156	122
155	212	159	119
147	199	174	110
152	184	171	111
170	170	166	111
170	159	182	99
173	150	180	108
170	141	187	112
170	132	186	116
176	116	174	134
173	116	165	136
176	108	150	150
179	101	142	151
183	63	126	196
183	70	115	180
184	57	108	193
185	50	105	193
194	50	95	164
203	49	73	167
207	48	66	179
208	58	67	174
205	64	72	174
195	65	90	173
182	67	100	167
163	66	130	142
164	70	136	136
169	68	124	149
172	69	121	149
192	71	98	135
191	73	92	136
191	67	90	150
195	68	82	156
190	76	82	151
187	76	90	157
183	78	86	154
181	78	84	155
181	80	83	153
179	88	99	130
172	90	105	136
181	102	107	137
187	113	97	127
192	133	89	108
186	142	88	99
177	149	80	93
171	148	77	87
159	156	82	82
146	156	110	94
139	149	117	121
138	150	96	120
137	164	86	107
128	158	87	110
115	159	113	87
105	153	122	80
99	148	133	88
94	149	124	87
93	152	104	83
91	147	107	94
92	162	101	80
91	165	103	72
95	166	116	69
93	170	120	60
106	166	114	68
104	164	118	71
98	161	138	73
100	157	135	81
104	157	105	80
112	156	105	76
110	154	108	80
118	154	102	80
131	153	91	86
135	148	89	97
138	151	83	94
137	150	89	101
135	151	84	104
135	151	84	103
136	149	89	106
137	147	98	109
145	149	104	104
153	148	104	104
154	147	105	105
160	143	105	111
169	135	95	109
179	126	102	110
184	124	116	107
188	121	128	99
192	120	136	91
198	115	138	99
204	114	135	101
213	112	128	104
212	110	133	103
219	111	134	94
224	108	135	96
229	110	131	92
231	111	126	88
224	112	142	85
233	114	139	88
235	113	133	89
232	113	146	87
235	114	136	90
239	116	127	89
240	121	132	85
240	124	134	85
240	123	132	86
241	129	131	80
240	127	145	82
245	125	147	88
241	136	152	76
249	143	144	86
259	154	134	89
266	158	126	88
265	157	127	92
269	154	122	97
268	149	122	109
272	145	112	116
268	141	115	115
265	133	132	115
264	121	124	124
277	122	99	124
282	109	89	99
281	106	75	94
262	104	113	97
271	99	120	100
278	104	110	88
274	104	113	89
274	108	110	81
272	0	103	339
268	104	94	150
250	101	104	159
244	112	114	135
222	125	143	130
188	136	183	130
229	141	124	129
214	146	127	127
241	150	102	135
236	153	105	135
221	154	119	137
204	154	128	147
198	151	138	165
192	156	140	160
191	164	150	150
186	178	160	140
176	188	178	129
172	199	182	113
169	198	193	115
167	201	200	120
173	193	193	136
174	184	189	147
176	181	183	152
178	174	181	168
191	162	175	175
189	161	176	176
190	159	177	177
221	168	142	157
231	162	120	150
231	163	119	135
225	160	127	127
215	166	146	114
210	170	148	104
202	173	142	99
195	176	137	95
185	177	131	92
165	178	147	88
144	185	152	91
132	183	158	95
99	190	197	98
71	185	224	160
68	188	217	152
66	184	226	146
73	183	229	146
96	175	210	147
100	177	216	141
121	173	200	117
181	155	139	123
154	146	175	124
152	150	182	107
159	147	187	112
171	140	166	116
185	138	160	112
176	135	161	107
168	137	176	105
177	131	157	137
175	125	159	130
182	128	144	124
181	135	146	135
